,Customer_ID,Age,Total_Purchase_Amount,Order_Count,Rating,Avg_Loyalty_Score,Discount_Applied,Payment_Method,Customer_Lifetime_Value,Cluster
0,10001,69,145.01455632,2,3.5,0.5465,0.0,Credit Card,145.01455632,0
1,10004,40,257.54550919999997,1,2.0,0.409625,0.0,Cash,257.54550919999997,1
2,10005,32,453.1684177,1,4.0,0.6012500000000001,0.0,Cash,453.1684177,1
3,10009,66,721.48712195,3,2.3333333333333335,0.9722500000000002,0.0,Bank Transfer,721.48712195,0
4,10011,43,89.68786519,1,2.0,0.262,0.0,Bank Transfer,89.68786519,2
5,10013,62,159.9429916,1,5.0,0.3135,0.0,Bank Transfer,159.9429916,2
6,10021,36,193.8681549,1,4.0,0.34075,0.0,PayPal,193.8681549,2
7,10038,51,323.3813749,1,3.0,0.48475,0.0,Cash,323.3813749,1
8,10054,22,304.1071194,1,1.0,0.46875,0.0,PayPal,304.1071194,1
9,10055,23,267.3001751,1,5.0,0.43875,0.0,Cash,267.3001751,1
10,10060,22,62.9985726,1,4.0,0.24400000000000002,0.0,PayPal,62.9985726,2
11,10064,68,281.2301338,1,1.0,0.45075,0.0,Cash,281.2301338,1
12,10072,43,423.75875,1,4.0,0.5680000000000001,0.0,Bank Transfer,423.75875,1
13,10074,27,182.0604084,1,2.0,0.33025000000000004,0.0,Cash,182.0604084,2
14,10077,62,35.65089574,1,5.0,0.2255,0.0,Bank Transfer,35.65089574,2
15,10089,25,90.47812294,1,1.0,0.26225,0.0,Bank Transfer,90.47812294,2
16,10094,34,379.9395792,1,2.0,0.5265,0.0,Credit Card,379.9395792,1
17,10098,55,350.0561331,1,3.0,0.50575,0.0,Credit Card,350.0561331,1
18,10105,65,627.1050620999999,2,3.5,0.9085,0.0,Bank Transfer,627.1050620999999,0
19,10116,46,223.140297,1,5.0,0.36375,0.0,Cash,223.140297,2
20,10117,64,162.4104355,1,3.0,0.31675000000000003,0.0,Credit Card,162.4104355,2
21,10125,65,517.14822288,2,3.5,0.8915,0.0,Bank Transfer,517.14822288,0
22,10126,43,171.4756454,1,2.0,0.323,0.0,Bank Transfer,171.4756454,2
23,10130,43,306.4850277,1,2.0,0.47100000000000003,0.0,Bank Transfer,306.4850277,1
24,10133,29,257.54550919999997,1,3.0,0.409625,0.0,PayPal,257.54550919999997,1
25,10137,18,381.1798132,1,4.0,0.529,0.0,Credit Card,381.1798132,1
26,10140,52,493.594039914,1,2.0,0.644,0.0,Bank Transfer,493.594039914,1
27,10145,56,357.5450218,2,3.5,0.7545,0.0,Cash,357.5450218,0
28,10153,29,257.54550919999997,1,1.0,0.409625,0.0,PayPal,257.54550919999997,1
29,10154,43,85.44732357,1,3.0,0.26025000000000004,0.0,Bank Transfer,85.44732357,2
30,10158,21,224.6188965,1,2.0,0.366,0.0,PayPal,224.6188965,2
31,10161,56,287.9099131,1,4.0,0.4575,0.0,Bank Transfer,287.9099131,1
32,10189,49,175.5004337,1,5.0,0.3265,0.0,Credit Card,175.5004337,2
